Name,Age,Area,Job,Interest,Email,Phone_number,Sex
a75,17,경기도,웹개발자,머신러닝,a75google.com,22103163765,남
a76,26,충청북도,대학생,웹개발,a76daum.net,91343346802,남
a77,21,경상북도,대학생,서버개발,a77google.com,42388249828,남
a78,20,강원도,데이터 사이언티스트,웹개발,a78naver.com,66577437163,여
a79,23,제주특별자치도,머신러닝 엔지니어,정보보안,a79naver.com,25701526489,남
a80,21,전라남도,대학생,서버개발,a80naver.com,51773538429,여
a81,17,충청북도,정보보안가,서버개발,a81daum.net,93051835861,남
a82,28,경기도,앱개발자,웹개발,a82daum.net,29392063964,여
a83,22,전라북도,대학생,정보보안,a83naver.com,25619215739,남
a84,30,전라북도,정보보안가,정보보안,a84google.com,27117629405,남
a85,16,충청남도,앱개발자,웹개발,a85google.com,58204032032,여
a86,32,경상남도,머신러닝 엔지니어,머신러닝,a86naver.com,30272781020,남
a87,28,충청북도,앱개발자,정보보안,a87naver.com,81855544762,남
a88,21,전라북도,머신러닝 엔지니어,정보보안,a88daum.net,33354206202,여
a89,29,전라북도,앱개발자,서버개발,a89google.com,80776150851,여
a90,16,충청남도,데이터 사이언티스트,앱개발,a90google.com,58988242850,남
a91,31,경상남도,앱개발자,앱개발,a91naver.com,74612041282,여
a92,31,충청남도,대학생,딥러닝,a92google.com,31374544942,여
a93,28,전라북도,웹개발자,서버개발,a93daum.net,66878412912,남
a94,21,경상남도,웹개발자,머신러닝,a94naver.com,35076520492,여
a95,19,전라남도,앱개발자,딥러닝,a95daum.net,88927104159,여
a96,18,전라북도,웹개발자,앱개발,a96naver.com,32140201319,여
a97,33,강원도,앱개발자,정보보안,a97daum.net,88650488054,여
a98,22,경기도,머신러닝 엔지니어,앱개발,a98google.com,76541884754,남
a99,25,전라남도,웹개발자,머신러닝,a99daum.net,55142183746,남
a100,23,제주특별자치도,앱개발자,서버개발,a100daum.net,41776872874,여
a101,19,경기도,웹개발자,정보보안,a101naver.com,22978518380,여
a102,31,제주특별자치도,머신러닝 엔지니어,웹개발,a102naver.com,18405611817,남
a103,30,충청북도,대학생,서버개발,a103google.com,73210811479,남
a104,19,서울특별시,대학생,서버개발,a104naver.com,58933938137,여
a105,32,서울특별시,정보보안가,서버개발,a105naver.com,51928227686,여
a106,27,제주특별자치도,앱개발자,서버개발,a106naver.com,31233228267,남
a107,23,경기도,머신러닝 엔지니어,앱개발,a107google.com,59916444832,여
a108,23,전라북도,정보보안가,머신러닝,a108daum.net,70377855573,남
a109,22,충청남도,웹개발자,정보보안,a109google.com,44126848621,남
a110,21,경상북도,정보보안가,정보보안,a110daum.net,56126350384,남
a111,34,전라북도,정보보안가,딥러닝,a111daum.net,50418365834,남
a112,30,경상북도,머신러닝 엔지니어,딥러닝,a112naver.com,89333061381,남
a113,23,제주특별자치도,정보보안가,앱개발,a113google.com,88593891435,여
a114,35,전라북도,정보보안가,웹개발,a114naver.com,40795632569,여
a115,32,경기도,웹개발자,정보보안,a115daum.net,48217556679,여
a116,29,경기도,웹개발자,머신러닝,a116google.com,99400241579,여
a117,15,경상북도,데이터 사이언티스트,앱개발,a117naver.com,63680590202,여
a118,17,강원도,데이터 사이언티스트,앱개발,a118google.com,51955984002,남
a119,27,충청북도,머신러닝 엔지니어,딥러닝,a119daum.net,11828330324,남
a120,17,서울특별시,정보보안가,딥러닝,a120daum.net,92499914553,남
a121,21,충청북도,머신러닝 엔지니어,정보보안,a121daum.net,90638330768,여
a122,18,강원도,머신러닝 엔지니어,웹개발,a122naver.com,57681315673,남
a123,18,전라남도,앱개발자,딥러닝,a123naver.com,24981663864,여
a124,16,서울특별시,대학생,정보보안,a124daum.net,27875155997,여
a125,26,경기도,머신러닝 엔지니어,앱개발,a125google.com,69359503157,남
a126,21,충청남도,웹개발자,웹개발,a126google.com,79124015894,남
a127,18,경상북도,머신러닝 엔지니어,앱개발,a127naver.com,45283924581,남
a128,32,전라남도,앱개발자,앱개발,a128google.com,44564983261,여
a129,32,전라북도,정보보안가,딥러닝,a129daum.net,88754098383,여
a130,26,경기도,대학생,웹개발,a130daum.net,80708210179,여
a131,21,전라북도,머신러닝 엔지니어,앱개발,a131naver.com,62290580521,여
a132,24,경상북도,정보보안가,머신러닝,a132daum.net,79481680059,남
a133,20,서울특별시,머신러닝 엔지니어,서버개발,a133google.com,12505090670,여
a134,26,충청북도,대학생,앱개발,a134google.com,99974920645,여
a135,18,전라남도,데이터 사이언티스트,웹개발,a135daum.net,58253745052,여
a136,35,강원도,머신러닝 엔지니어,정보보안,a136google.com,39599682096,여
a137,17,충청남도,앱개발자,딥러닝,a137google.com,95515068608,여
a138,34,경기도,웹개발자,앱개발,a138google.com,45106397208,남
a139,21,충청북도,데이터 사이언티스트,머신러닝,a139google.com,82470609229,남
a140,30,경기도,웹개발자,앱개발,a140daum.net,38556781910,남
a141,19,경기도,머신러닝 엔지니어,정보보안,a141naver.com,65696512043,여
a142,19,전라북도,정보보안가,머신러닝,a142daum.net,23013732025,남
a143,31,충청북도,데이터 사이언티스트,정보보안,a143naver.com,52401718471,여
a144,27,제주특별자치도,앱개발자,앱개발,a144naver.com,77183558072,여
a145,19,전라북도,앱개발자,앱개발,a145google.com,99398885426,남
a146,26,경상남도,앱개발자,딥러닝,a146google.com,37390498906,여
a147,18,전라남도,앱개발자,서버개발,a147daum.net,56813836920,남
a148,30,전라북도,웹개발자,머신러닝,a148naver.com,31505983365,남
a149,29,경상북도,대학생,딥러닝,a149google.com,48878926228,남
a150,21,전라북도,데이터 사이언티스트,서버개발,a150daum.net,48234758557,남
a151,25,경상북도,정보보안가,머신러닝,a151daum.net,82668454941,여
a152,26,강원도,머신러닝 엔지니어,웹개발,a152google.com,53350546033,여
a153,35,경기도,머신러닝 엔지니어,정보보안,a153google.com,84924330604,남
a154,17,서울특별시,정보보안가,딥러닝,a154daum.net,69741261196,남
a155,16,전라남도,머신러닝 엔지니어,정보보안,a155google.com,44542424344,여
a156,19,서울특별시,머신러닝 엔지니어,정보보안,a156daum.net,80285917212,여
a157,27,충청남도,대학생,머신러닝,a157daum.net,88123416180,남
a158,28,경상남도,대학생,정보보안,a158daum.net,70310805788,남
a159,20,충청북도,머신러닝 엔지니어,서버개발,a159daum.net,85345564142,남
a160,30,강원도,정보보안가,정보보안,a160naver.com,82512540596,여
a161,28,제주특별자치도,머신러닝 엔지니어,웹개발,a161daum.net,96863632825,남
a162,30,경기도,데이터 사이언티스트,딥러닝,a162daum.net,42612632616,남
a163,32,경기도,데이터 사이언티스트,딥러닝,a163naver.com,53867014741,여
a164,29,경상북도,웹개발자,머신러닝,a164daum.net,61743531690,여
a165,26,서울특별시,웹개발자,머신러닝,a165naver.com,78741707010,여
a166,17,강원도,앱개발자,머신러닝,a166naver.com,87648420907,남
a167,31,전라북도,웹개발자,딥러닝,a167daum.net,28447255686,여
a168,23,서울특별시,머신러닝 엔지니어,딥러닝,a168naver.com,19300424717,여
a169,35,경기도,머신러닝 엔지니어,웹개발,a169daum.net,37062368217,남
a170,22,충청북도,데이터 사이언티스트,머신러닝,a170daum.net,80629033467,여
a171,21,충청북도,웹개발자,딥러닝,a171google.com,94790727899,여
a172,25,충청남도,앱개발자,머신러닝,a172naver.com,64650361166,남
a173,28,전라북도,데이터 사이언티스트,딥러닝,a173naver.com,15521351341,남
a174,17,서울특별시,웹개발자,웹개발,a174google.com,67057654092,남
a175,25,경상남도,앱개발자,웹개발,a175daum.net,86172992420,남
a176,19,경상북도,웹개발자,웹개발,a176naver.com,65582844354,여
a177,24,충청북도,머신러닝 엔지니어,앱개발,a177google.com,66966298451,여
a178,30,충청남도,머신러닝 엔지니어,앱개발,a178naver.com,34627603981,여
a179,29,서울특별시,웹개발자,머신러닝,a179naver.com,39328287738,여
a180,34,충청남도,앱개발자,앱개발,a180daum.net,17579529810,남
a181,25,경기도,정보보안가,정보보안,a181naver.com,46054773771,여
a182,17,경상북도,정보보안가,웹개발,a182daum.net,33035739214,남
a183,34,경상남도,앱개발자,정보보안,a183daum.net,62136050259,남
a184,18,강원도,앱개발자,웹개발,a184daum.net,26514940418,여
a185,21,전라북도,정보보안가,정보보안,a185google.com,44888152334,여
a186,26,충청북도,앱개발자,딥러닝,a186daum.net,96620113878,남
a187,20,서울특별시,데이터 사이언티스트,딥러닝,a187naver.com,35971756748,남
a188,22,경상남도,정보보안가,딥러닝,a188daum.net,95549749768,여
a189,30,제주특별자치도,정보보안가,웹개발,a189daum.net,13557876952,남
a190,24,충청남도,데이터 사이언티스트,서버개발,a190daum.net,15320951193,여
a191,31,충청남도,웹개발자,머신러닝,a191daum.net,82215143486,여
a192,23,경기도,데이터 사이언티스트,머신러닝,a192google.com,49305606715,여
a193,24,전라남도,정보보안가,딥러닝,a193google.com,69497317424,여
a194,29,경상남도,대학생,정보보안,a194daum.net,28543368012,여
a195,31,제주특별자치도,머신러닝 엔지니어,딥러닝,a195google.com,46274841414,여
a196,22,충청북도,정보보안가,서버개발,a196google.com,31042567633,여
a197,29,경상북도,앱개발자,정보보안,a197daum.net,64843297759,남
a198,17,경기도,정보보안가,정보보안,a198naver.com,49446522618,남
a199,18,경상북도,머신러닝 엔지니어,앱개발,a199daum.net,16534238327,여
a200,18,강원도,머신러닝 엔지니어,웹개발,a200google.com,97838384688,남
a201,34,경상북도,앱개발자,웹개발,a201daum.net,71259319387,남
a202,29,경상북도,대학생,딥러닝,a202google.com,21657482060,여
a203,22,경상북도,대학생,앱개발,a203google.com,25194855138,여
a204,20,경기도,머신러닝 엔지니어,머신러닝,a204naver.com,38300244915,여
a205,34,전라북도,정보보안가,머신러닝,a205naver.com,45662178835,남
a206,18,충청남도,앱개발자,웹개발,a206naver.com,25161866000,여
a207,16,전라북도,앱개발자,정보보안,a207google.com,13047152282,여
a208,30,경상북도,대학생,서버개발,a208naver.com,21707255409,여
a209,17,서울특별시,대학생,웹개발,a209naver.com,99906518697,여
a210,34,제주특별자치도,앱개발자,정보보안,a210google.com,43087387045,여
a211,27,충청북도,데이터 사이언티스트,웹개발,a211naver.com,20475038322,여
a212,34,경상남도,머신러닝 엔지니어,웹개발,a212google.com,94161796526,남
a213,29,제주특별자치도,머신러닝 엔지니어,앱개발,a213daum.net,80463781933,여
a214,24,경기도,데이터 사이언티스트,딥러닝,a214google.com,33027734995,남
a215,31,전라남도,데이터 사이언티스트,웹개발,a215google.com,88114306991,여
a216,27,경기도,웹개발자,머신러닝,a216naver.com,75814830047,여
a217,21,경상남도,대학생,서버개발,a217google.com,49805710586,여
a218,17,경상남도,데이터 사이언티스트,웹개발,a218daum.net,88587801712,여
a219,18,경상북도,웹개발자,정보보안,a219daum.net,95480453372,여
a220,25,전라남도,앱개발자,앱개발,a220daum.net,50187376445,여
a221,26,경기도,정보보안가,머신러닝,a221naver.com,20144132174,남
a222,19,경상남도,머신러닝 엔지니어,딥러닝,a222naver.com,40818285920,남
a223,30,강원도,웹개발자,딥러닝,a223google.com,94727309582,남
a224,25,충청북도,머신러닝 엔지니어,딥러닝,a224google.com,66378410377,남
a225,35,경상남도,정보보안가,딥러닝,a225daum.net,99088014016,여
a226,21,강원도,머신러닝 엔지니어,딥러닝,a226google.com,94575875603,여
a227,22,제주특별자치도,앱개발자,앱개발,a227naver.com,30674055639,남
a228,29,경상북도,앱개발자,딥러닝,a228naver.com,99341098079,남
a229,24,충청북도,머신러닝 엔지니어,머신러닝,a229google.com,50998121623,남
a230,33,충청북도,데이터 사이언티스트,딥러닝,a230naver.com,86037159235,여
a231,31,경상북도,데이터 사이언티스트,웹개발,a231naver.com,13561350188,남
a232,21,충청남도,데이터 사이언티스트,서버개발,a232google.com,69178454912,남
a233,25,제주특별자치도,대학생,정보보안,a233google.com,54635553382,남
a234,19,경상남도,웹개발자,딥러닝,a234google.com,83618337695,여
a235,22,제주특별자치도,데이터 사이언티스트,웹개발,a235google.com,96292540840,여
a236,25,강원도,머신러닝 엔지니어,정보보안,a236daum.net,37414972754,여
a237,33,강원도,데이터 사이언티스트,앱개발,a237naver.com,53310895554,남
a238,26,강원도,웹개발자,정보보안,a238google.com,23993093138,남
a239,17,서울특별시,정보보안가,웹개발,a239daum.net,25190307036,남
a240,23,서울특별시,대학생,딥러닝,a240naver.com,24462547158,여
a241,27,전라북도,정보보안가,딥러닝,a241google.com,57201283332,남
a242,27,충청북도,데이터 사이언티스트,웹개발,a242google.com,16989956786,남
a243,33,충청남도,대학생,딥러닝,a243google.com,17223183629,남
a244,21,전라남도,대학생,머신러닝,a244daum.net,36891221253,여
a245,31,전라북도,정보보안가,앱개발,a245daum.net,34180396619,여
a246,35,전라남도,대학생,딥러닝,a246google.com,16288009040,여
a247,17,강원도,머신러닝 엔지니어,서버개발,a247daum.net,74760287244,여
a248,25,서울특별시,웹개발자,웹개발,a248google.com,39606172976,남
a249,30,서울특별시,웹개발자,정보보안,a249daum.net,36975472453,여
a250,29,제주특별자치도,정보보안가,딥러닝,a250daum.net,29034656467,여
a251,34,전라남도,정보보안가,서버개발,a251naver.com,32218774136,여
a252,32,강원도,머신러닝 엔지니어,서버개발,a252daum.net,28840626567,남
a253,27,충청남도,정보보안가,정보보안,a253naver.com,93243836869,남
a254,30,전라남도,정보보안가,웹개발,a254naver.com,82779542707,남
a255,28,서울특별시,데이터 사이언티스트,웹개발,a255google.com,19609762625,여
a256,20,강원도,정보보안가,웹개발,a256google.com,14036707628,여
a257,29,제주특별자치도,데이터 사이언티스트,정보보안,a257google.com,18712061313,여
a258,26,충청북도,앱개발자,서버개발,a258naver.com,12323221020,여
a259,20,전라북도,웹개발자,머신러닝,a259google.com,60072357520,여
a260,19,경상남도,대학생,정보보안,a260naver.com,91219325831,남
a261,30,전라남도,머신러닝 엔지니어,서버개발,a261google.com,27656358477,남
a262,28,제주특별자치도,데이터 사이언티스트,정보보안,a262naver.com,39423548056,여
a263,28,서울특별시,머신러닝 엔지니어,머신러닝,a263daum.net,73203901897,남
a264,31,강원도,데이터 사이언티스트,앱개발,a264daum.net,28980159458,남
a265,19,경상북도,머신러닝 엔지니어,웹개발,a265naver.com,19757386467,여
a266,26,제주특별자치도,앱개발자,머신러닝,a266daum.net,18589416961,여
a267,16,제주특별자치도,대학생,정보보안,a267naver.com,66996846547,남
a268,19,제주특별자치도,웹개발자,웹개발,a268daum.net,96659888506,남
a269,16,서울특별시,대학생,서버개발,a269google.com,65348168880,남
a270,16,경상북도,앱개발자,정보보안,a270daum.net,18199229354,여
a271,31,전라북도,대학생,딥러닝,a271naver.com,91170441389,여
a272,18,강원도,머신러닝 엔지니어,머신러닝,a272google.com,42800285626,남
a273,29,제주특별자치도,웹개발자,머신러닝,a273daum.net,54240585585,남
a274,28,충청남도,데이터 사이언티스트,웹개발,a274daum.net,35065396930,남
a275,15,전라북도,대학생,딥러닝,a275google.com,44092874885,여
a276,34,경상북도,정보보안가,앱개발,a276google.com,31638947151,남
a277,31,제주특별자치도,데이터 사이언티스트,정보보안,a277naver.com,83969978932,여
a278,24,서울특별시,데이터 사이언티스트,앱개발,a278naver.com,86344472878,남
a279,29,충청북도,정보보안가,앱개발,a279naver.com,91295511113,남
a280,22,강원도,앱개발자,앱개발,a280daum.net,66656706286,남
a281,28,제주특별자치도,웹개발자,웹개발,a281daum.net,39703900347,여
a282,20,경상남도,정보보안가,정보보안,a282google.com,32990067878,남
a283,23,경기도,머신러닝 엔지니어,서버개발,a283daum.net,91810035315,여
a284,28,충청북도,웹개발자,웹개발,a284google.com,44091559939,여
a285,25,경상북도,머신러닝 엔지니어,정보보안,a285naver.com,46403777502,남
a286,31,충청남도,웹개발자,머신러닝,a286daum.net,67170319890,남
a287,17,충청남도,앱개발자,딥러닝,a287naver.com,19127507700,여
a288,24,강원도,머신러닝 엔지니어,머신러닝,a288daum.net,81747723460,남
a289,23,충청남도,대학생,머신러닝,a289daum.net,69500616212,여
a290,20,경상남도,정보보안가,머신러닝,a290google.com,12211843705,여
a291,32,전라북도,머신러닝 엔지니어,서버개발,a291naver.com,53264584054,남
a292,21,경상남도,대학생,서버개발,a292google.com,46641650567,여
a293,33,경상북도,정보보안가,머신러닝,a293google.com,26724068975,남
a294,31,경상남도,대학생,정보보안,a294naver.com,56608476596,남
a295,26,제주특별자치도,앱개발자,웹개발,a295daum.net,74897288554,남
a296,19,경상북도,웹개발자,딥러닝,a296naver.com,19502898187,여
a297,23,제주특별자치도,정보보안가,웹개발,a297daum.net,55128688345,여
a298,17,경상남도,웹개발자,서버개발,a298google.com,91291996345,남
a299,18,강원도,웹개발자,서버개발,a299naver.com,76406820706,여
a300,34,경기도,앱개발자,서버개발,a300google.com,77284808332,남
a301,33,경기도,웹개발자,머신러닝,a301naver.com,94995134418,여
a302,29,강원도,데이터 사이언티스트,정보보안,a302google.com,26270216856,남
a303,35,제주특별자치도,앱개발자,딥러닝,a303google.com,94830361024,여
a304,26,전라북도,앱개발자,앱개발,a304google.com,79045435328,여
a305,17,충청북도,웹개발자,앱개발,a305daum.net,32439921106,남
a306,20,경기도,머신러닝 엔지니어,정보보안,a306naver.com,93679243575,여
a307,31,전라북도,대학생,딥러닝,a307naver.com,86750500804,여
a308,27,강원도,정보보안가,앱개발,a308naver.com,74707221627,남
a309,26,서울특별시,웹개발자,웹개발,a309daum.net,51966415140,남
a310,19,충청북도,데이터 사이언티스트,머신러닝,a310google.com,99823844361,여
a311,30,전라남도,머신러닝 엔지니어,정보보안,a311naver.com,26397850445,남
a312,31,전라남도,웹개발자,웹개발,a312naver.com,45290199446,남
a313,31,강원도,정보보안가,웹개발,a313daum.net,84368910548,남
a314,22,경상남도,정보보안가,딥러닝,a314google.com,90127565770,남
a315,29,경상북도,앱개발자,웹개발,a315google.com,49386232751,남
a316,27,전라북도,웹개발자,머신러닝,a316naver.com,76393934468,남
a317,23,충청남도,대학생,웹개발,a317naver.com,63025024527,남
a318,25,경상북도,웹개발자,머신러닝,a318google.com,83196754591,여
a319,32,충청북도,정보보안가,서버개발,a319google.com,80940831924,남
a320,34,경기도,데이터 사이언티스트,머신러닝,a320naver.com,61714751923,남
a321,27,서울특별시,정보보안가,정보보안,a321naver.com,31075924991,여
a322,18,전라북도,대학생,딥러닝,a322daum.net,86080949868,여
a323,23,제주특별자치도,머신러닝 엔지니어,머신러닝,a323daum.net,13784204680,여
a324,27,전라남도,웹개발자,웹개발,a324daum.net,56407340870,남
a325,32,전라북도,머신러닝 엔지니어,웹개발,a325naver.com,37659261844,남
a326,27,충청남도,데이터 사이언티스트,앱개발,a326google.com,97976871640,여
a327,32,경기도,머신러닝 엔지니어,딥러닝,a327google.com,38867811634,남
a328,30,전라남도,정보보안가,머신러닝,a328google.com,62339047598,여
a329,25,충청북도,정보보안가,서버개발,a329naver.com,52488330845,여
a330,30,경기도,머신러닝 엔지니어,서버개발,a330daum.net,41648604293,남
a331,25,강원도,데이터 사이언티스트,서버개발,a331naver.com,82854190959,남
a332,17,전라북도,웹개발자,웹개발,a332google.com,23779000530,여
a333,33,경상남도,데이터 사이언티스트,딥러닝,a333google.com,27969611824,남
a334,23,경기도,웹개발자,딥러닝,a334daum.net,88206222826,남
a335,23,제주특별자치도,웹개발자,웹개발,a335daum.net,62003651752,남
a336,33,제주특별자치도,웹개발자,앱개발,a336daum.net,40393857713,여
a337,20,경상남도,정보보안가,서버개발,a337google.com,92402302378,여
a338,28,충청남도,대학생,머신러닝,a338google.com,92105943037,여
a339,29,충청북도,웹개발자,딥러닝,a339daum.net,81937413135,여
a340,30,제주특별자치도,웹개발자,머신러닝,a340naver.com,81108606051,여
a341,28,경상남도,웹개발자,정보보안,a341naver.com,72901683996,남
a342,18,경기도,데이터 사이언티스트,앱개발,a342google.com,14061571826,남
a343,19,충청남도,머신러닝 엔지니어,딥러닝,a343google.com,99124364536,여
a344,21,전라북도,머신러닝 엔지니어,서버개발,a344naver.com,24211013457,여
a345,31,강원도,머신러닝 엔지니어,앱개발,a345daum.net,26432793381,남
a346,28,강원도,대학생,서버개발,a346daum.net,80047230042,여
a347,34,전라북도,데이터 사이언티스트,서버개발,a347daum.net,82822300130,남
a348,15,제주특별자치도,데이터 사이언티스트,머신러닝,a348naver.com,96329340878,여
a349,24,충청북도,데이터 사이언티스트,정보보안,a349google.com,78719615220,여
a350,17,충청남도,정보보안가,서버개발,a350daum.net,84510446022,남
a351,22,제주특별자치도,앱개발자,정보보안,a351google.com,47560023703,남
a352,28,제주특별자치도,머신러닝 엔지니어,웹개발,a352naver.com,12578360672,여
a353,32,전라남도,머신러닝 엔지니어,머신러닝,a353naver.com,12336248749,남
a354,17,경기도,데이터 사이언티스트,웹개발,a354google.com,58113602687,여
a355,30,전라남도,웹개발자,정보보안,a355naver.com,43149460987,여
a356,24,충청남도,정보보안가,정보보안,a356naver.com,16996074583,여
a357,22,전라북도,머신러닝 엔지니어,웹개발,a357daum.net,47433924677,남
a358,15,경기도,웹개발자,앱개발,a358daum.net,78828490241,남
a359,21,충청남도,머신러닝 엔지니어,앱개발,a359naver.com,91065814945,남
a360,22,경기도,대학생,머신러닝,a360naver.com,34515628074,여
a361,35,경기도,정보보안가,정보보안,a361daum.net,54391815959,남
a362,33,충청남도,웹개발자,서버개발,a362daum.net,47870132558,남
a363,21,전라북도,머신러닝 엔지니어,정보보안,a363naver.com,55313451324,남
a364,27,경상북도,대학생,딥러닝,a364naver.com,21634072502,남
a365,18,강원도,머신러닝 엔지니어,앱개발,a365naver.com,33882594918,여
a366,26,서울특별시,웹개발자,웹개발,a366daum.net,95792907421,여
a367,24,전라북도,머신러닝 엔지니어,웹개발,a367google.com,57768621487,남
a368,25,전라남도,정보보안가,머신러닝,a368google.com,46547458778,여
a369,26,전라북도,머신러닝 엔지니어,머신러닝,a369google.com,85966378659,여
a370,19,충청북도,앱개발자,웹개발,a370google.com,93354714538,여
a371,31,충청북도,데이터 사이언티스트,웹개발,a371naver.com,45225232694,여
a372,23,제주특별자치도,머신러닝 엔지니어,웹개발,a372naver.com,68467478308,여
a373,15,강원도,데이터 사이언티스트,웹개발,a373daum.net,26918008540,남
a374,19,전라남도,앱개발자,서버개발,a374google.com,17140428922,남
a375,33,전라남도,웹개발자,딥러닝,a375naver.com,41927922312,남
a376,19,경기도,웹개발자,딥러닝,a376naver.com,25069796901,여
a377,23,충청남도,웹개발자,정보보안,a377daum.net,51093780272,남
a378,20,경상남도,머신러닝 엔지니어,딥러닝,a378google.com,12272599995,남
